"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	11	137555	8.0 (Unreliable)
	"Jefferson County, AL"	"01073"	34	662845	5.1
	"Madison County, AL"	"01089"	10	274692	3.6 (Unreliable)
	"Mobile County, AL"	"01097"	28	399323	7.0
	"Anchorage Borough, AK"	"02020"	21	259348	8.1
	"Cochise County, AZ"	"04003"	10	116530	8.6 (Unreliable)
	"Coconino County, AZ"	"04005"	10	115307	8.7 (Unreliable)
	"Maricopa County, AZ"	"04013"	288	3004985	9.6
	"Navajo County, AZ"	"04017"	12	96100	12.5 (Unreliable)
	"Pima County, AZ"	"04019"	137	828905	16.5
	"Pinal County, AZ"	"04021"	11	173364	6.3 (Unreliable)
	"Yuma County, AZ"	"04027"	10	155665	6.4 (Unreliable)
	"Pulaski County, AR"	"05119"	19	360312	5.3 (Unreliable)
	"Alameda County, CA"	"06001"	97	1427114	6.8
	"Butte County, CA"	"06007"	15	201282	7.5 (Unreliable)
	"Contra Costa County, CA"	"06013"	67	936983	7.2
	"El Dorado County, CA"	"06017"	14	154381	9.1 (Unreliable)
	"Fresno County, CA"	"06019"	52	789405	6.6
	"Humboldt County, CA"	"06023"	24	126676	18.9
	"Imperial County, CA"	"06025"	17	141056	12.1 (Unreliable)
	"Kern County, CA"	"06029"	74	655428	11.3
	"Kings County, CA"	"06031"	12	126402	9.5 (Unreliable)
	"Los Angeles County, CA"	"06037"	681	9437290	7.2
	"Madera County, CA"	"06039"	10	121883	8.2 (Unreliable)
	"Marin County, CA"	"06041"	28	246269	11.4
	"Mendocino County, CA"	"06045"	14	85665	16.3 (Unreliable)
	"Merced County, CA"	"06047"	14	206734	6.8 (Unreliable)
	"Monterey County, CA"	"06053"	34	396267	8.6
	"Nevada County, CA"	"06057"	10	90899	11.0 (Unreliable)
	"Orange County, CA"	"06059"	215	2815933	7.6
	"Placer County, CA"	"06061"	13	240928	5.4 (Unreliable)
	"Riverside County, CA"	"06065"	131	1507912	8.7
	"Sacramento County, CA"	"06067"	93	1206659	7.7
	"San Bernardino County, CA"	"06071"	58	1681601	3.4
	"San Diego County, CA"	"06073"	253	2789593	9.1
	"San Francisco County, CA"	"06075"	172	774716	22.2
	"San Joaquin County, CA"	"06077"	59	552424	10.7
	"San Luis Obispo County, CA"	"06079"	25	243480	10.3
	"San Mateo County, CA"	"06081"	53	704538	7.5
	"Santa Barbara County, CA"	"06083"	39	396906	9.8
	"Santa Clara County, CA"	"06085"	73	1671498	4.4
	"Santa Cruz County, CA"	"06087"	15	253667	5.9 (Unreliable)
	"Shasta County, CA"	"06089"	27	161987	16.7
	"Solano County, CA"	"06095"	18	387657	4.6 (Unreliable)
	"Sonoma County, CA"	"06097"	45	453421	9.9
	"Stanislaus County, CA"	"06099"	50	438609	11.4
	"Tulare County, CA"	"06107"	32	364708	8.8
	"Ventura County, CA"	"06111"	61	743357	8.2
	"Yuba County, CA"	"06115"	14	59881	23.4 (Unreliable)
	"Adams County, CO"	"08001"	24	354146	6.8
	"Arapahoe County, CO"	"08005"	33	482262	6.8
	"Boulder County, CO"	"08013"	19	285901	6.6 (Unreliable)
	"Denver County, CO"	"08031"	104	548848	18.9
	"El Paso County, CO"	"08041"	61	509044	12.0
	"Jefferson County, CO"	"08059"	31	523325	5.9
	"Larimer County, CO"	"08069"	10	246884	4.1 (Unreliable)
	"Pueblo County, CO"	"08101"	13	140184	9.3 (Unreliable)
	"Weld County, CO"	"08123"	10	174342	5.7 (Unreliable)
	"Fairfield County, CT"	"09001"	63	877043	7.2
	"Hartford County, CT"	"09003"	91	853039	10.7
	"Litchfield County, CT"	"09005"	15	181328	8.3 (Unreliable)
	"Middlesex County, CT"	"09007"	11	153340	7.2 (Unreliable)
