"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	12	140415	8.5 (Unreliable)
	"Etowah County, AL"	"01055"	10	103459	9.7 (Unreliable)
	"Jefferson County, AL"	"01073"	47	662047	7.1
	"Mobile County, AL"	"01097"	32	399843	8.0
	"Anchorage Borough, AK"	"02020"	21	260283	8.1
	"Cochise County, AZ"	"04003"	10	117755	8.5 (Unreliable)
	"Coconino County, AZ"	"04005"	14	116320	12.0 (Unreliable)
	"Maricopa County, AZ"	"04013"	274	3072149	8.9
	"Mohave County, AZ"	"04015"	11	155032	7.1 (Unreliable)
	"Pima County, AZ"	"04019"	163	843746	19.3
	"Pinal County, AZ"	"04021"	14	179727	7.8 (Unreliable)
	"Yavapai County, AZ"	"04025"	11	167517	6.6 (Unreliable)
	"Pulaski County, AR"	"05119"	20	361474	5.5
	"Sebastian County, AR"	"05131"	13	115071	11.3 (Unreliable)
	"Alameda County, CA"	"06001"	93	1443741	6.4
	"Butte County, CA"	"06007"	10	203171	4.9 (Unreliable)
	"Contra Costa County, CA"	"06013"	42	948816	4.4
	"Fresno County, CA"	"06019"	37	799407	4.6
	"Humboldt County, CA"	"06023"	15	126518	11.9 (Unreliable)
	"Imperial County, CA"	"06025"	12	142361	8.4 (Unreliable)
	"Kern County, CA"	"06029"	77	661645	11.6
	"Lake County, CA"	"06033"	11	58309	18.9 (Unreliable)
	"Los Angeles County, CA"	"06037"	518	9519338	5.4
	"Marin County, CA"	"06041"	25	247289	10.1
	"Mendocino County, CA"	"06045"	11	86265	12.8 (Unreliable)
	"Monterey County, CA"	"06053"	15	401762	3.7 (Unreliable)
	"Orange County, CA"	"06059"	123	2846289	4.3
	"Riverside County, CA"	"06065"	74	1545387	4.8
	"Sacramento County, CA"	"06067"	50	1223499	4.1
	"San Bernardino County, CA"	"06071"	47	1709434	2.7
	"San Diego County, CA"	"06073"	197	2813833	7.0
	"San Francisco County, CA"	"06075"	126	776733	16.2
	"San Joaquin County, CA"	"06077"	40	563598	7.1
	"San Luis Obispo County, CA"	"06079"	15	246681	6.1 (Unreliable)
	"San Mateo County, CA"	"06081"	29	707161	4.1
	"Santa Barbara County, CA"	"06083"	35	399347	8.8
	"Santa Clara County, CA"	"06085"	70	1682585	4.2
	"Santa Cruz County, CA"	"06087"	10	255602	3.9 (Unreliable)
	"Shasta County, CA"	"06089"	16	163256	9.8 (Unreliable)
	"Solano County, CA"	"06095"	28	394542	7.1
	"Sonoma County, CA"	"06097"	38	458614	8.3
	"Stanislaus County, CA"	"06099"	34	446997	7.6
	"Tulare County, CA"	"06107"	25	368021	6.8
	"Ventura County, CA"	"06111"	48	753197	6.4
	"Adams County, CO"	"08001"	34	363857	9.3
	"Arapahoe County, CO"	"08005"	43	487967	8.8
	"Boulder County, CO"	"08013"	17	291288	5.8 (Unreliable)
